Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
本剤は[Number][Unit]（[Number][Unit]）中に[ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）を含有する．<<BR>>〈電解質組成〉<BR>[ElectIon][Number][Unit][Fomula][Number][Unit],30,9,2,2,Cluster  2
本剤は[Number][Unit]（[Number][Unit]）中に[ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）を含有する．<<BR>>〈電解質組成〉<BR>[Fomula]＋[Number][Unit][ElectIon][Number][Unit]<<BR>>本剤は,30,9,1,2,Cluster  2
本剤は[Number][Unit]（[Number][Unit]）中に[ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）を含有する．<<BR>>〈電解質組成〉<BR>[Fomula]＋[Number][Unit][Fomula][Number][Unit],30,9,1,2,Cluster  2
本剤は[Number][Unit]（[Number][Unit]）中に下記の成分を含有する[Form]である<<BR>>成分<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>電解質量<BR>[Fomula]＋[Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit]Ｐ[Number][Unit][ElectIon][Number][Unit]Ｌ－[ElectIon][Number][Unit]Ｚｎ[Number][Unit]<<BR>>カロリー<BR>[Number][Unit],73,10,1,2,Cluster  2
本剤は[Number][Unit]（[Number][Unit]）中に下記成分を含む<<BR>>有効成分及び含量<BR>[ActIngreName][Number][Unit]<<BR>>電解質濃度（ｍ／[Unit]）<BR>[Fomula]＋[Number]<<BR>>[Fomula][Number],73,10,2,2,Cluster  2
本剤は[Number][Unit]（[Number][Unit]）中に下記成分を含む<<BR>>有効成分及び含量<BR>[ActIngreName][Number][Unit]<<BR>>電解質濃度（ｍＥｑ／[Number][Unit]）<BR>[Fomula]＋[Number]<<BR>>[Fomula][Number],73,10,1,2,Cluster  2
本剤は[Number][Unit]（[Number][Unit]）中に次の成分を含有する[Form]である<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>本剤は<<BR>>電解質濃度<BR>[Number][Unit]<<BR>>[Fomula]＋<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[Fomula]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>[Number][Unit]<<BR>>[ElectIon]<BR>：添加物に由来するものを含む,30,9,2,2,Cluster  2
本剤は[Number][Unit]（[Unit]）[Number][Unit]中に次の成分分量を含む[Color]の[Form]である[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>電解質（理論値）<BR>[Fomula]＋[Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit]Ｍｇ＋＋[Number][Unit][Fomula][Number][Unit][ElectIon][Number][Unit]Ｌ－[ElectIon][Number][Unit][ElectIon][Number][Unit]Ｐ[Number][Unit]Ｚｎ[Number][Unit]<<BR>>カロリー<BR>[Number][Unit],2,5,3,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>熱量<BR>[Number][Unit]（[Number][Unit]中）<<BR>>電解質濃度（ｍ／[Unit]）<BR>[Fomula]＋[Number][Fomula][Number][ElectIon][Number],73,10,4,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>熱量<BR>[Number][Unit]（[Number][Unit]中）<<BR>>電解質濃度（ｍ／[Unit]）<BR>[Fomula]＋[Number][ElectIon][Number][Fomula][Number][ElectIon][Number],73,10,4,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>熱量<BR>[Number][Unit]<<BR>>電解質濃度（ｍ／[Unit]）<BR>[Fomula]＋[Number][ElectIon][Number][Fomula][Number][ElectIon][Number][ElectIon][Number]（ｍｍｏｌ／[Unit]）,73,10,2,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>熱量<BR>[Number][Unit]（[Number][Unit]中）<<BR>>電解質濃度（ｍ／[Unit]）<BR>[Fomula]＋[Number][ElectIon][Number][Fomula][Number][ElectIon][Number][ElectIon][Number]（ｍｍｏｌ／[Unit]）,73,10,2,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>熱量<BR>[Number][Unit]<<BR>>電解質濃度（ｍ／[Unit]）<BR>[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][ElectIon][Number][Fomula][Number][ElectIon][Number]（ｍｍｏｌ／[Unit]）[ElectIon][Number],73,10,1,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>[ActIngreName]合計<BR>[Number][Unit]<<BR>>[ActIngreName]濃度<BR>[Number][Unit]<<BR>>[ActIngreName]量<BR>[Number][Unit]<<BR>>総[ActIngreName]濃度<BR>[Number][Unit]<<BR>>電解質量<BR>[Fomula]＋約[Number][Unit][Fomula]約[Number][Unit],73,10,1,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]合計[Number][Unit][ActIngreName]濃度[Number][Unit]<<BR>>[ActIngreName]量<BR>[Number][Unit]<<BR>>総[ActIngreName]濃度<BR>[Number][Unit]<<BR>>[ActIngreName]含有率<BR>[Number][Unit]<<BR>>[ActIngreName]／[ActIngreName]<BR>[Number]<<BR>>電解質量<BR>[Fomula]＋：＜[Number][Unit][ElectIon]：約[Number][Unit],73,10,1,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]合計[Number][Unit][ActIngreName]濃度[Number][Unit]<<BR>>[ActIngreName]量<BR>[Number][Unit]<<BR>>総[ActIngreName]濃度<BR>[Number][Unit]<<BR>>[ActIngreName]／[ActIngreName]<BR>[Number]<<BR>>電解質量<BR>[Fomula]＋＜[Number][Unit][ElectIon]約[Number][Unit],73,10,1,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]合計[Number][Unit][ActIngreName]濃度[Number][Unit]<<BR>>[ActIngreName]量<BR>[Number][Unit]<<BR>>総[ActIngreName]濃度<BR>[Number][Unit]<<BR>>[ActIngreName]／[ActIngreName]<BR>[Number]<<BR>>電解質量<BR>[Fomula]＋約[Number][Unit][ElectIon]約[Number][Unit],73,10,1,2,Cluster  2
本剤は下記の成分を含有する<<BR>>成分（[Number][Unit]（[Number][Unit]）中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>電解質濃度（ｍ／[Unit]）<BR>[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][ElectIon][Number][Fomula][Number]Ｌ－[ElectIon][Number]<<BR>>浸透圧（理論値）<BR>[Number][Unit]Ｏｓｍ／[Unit],73,10,2,2,Cluster  2
本剤は下記の成分を含有する[Color]の[Form]である<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]合計[Number][Unit][ActIngreName]濃度[Number][Unit]<<BR>>[ActIngreName]量[Number][Unit][ActIngreName]濃度[Number][Unit][ActIngreName]濃度[Number][Unit]Ｆｉｓｃｈｅｒ比[Number][ActIngreName]／（[ActIngreName]＋チロジン）〔モル比〕電解質量[Fomula]＋約[Number][Unit][ElectIon]約[Number][Unit],73,10,3,2,Cluster  2
本剤はＩ層[Form]（糖電解質[Form]）とＩＩ層[Form]（[ActIngreName][Form]）が隔壁で仕切られた[CaseName]で構成される二室タイプの[Form]製品である<<BR>>Ｉ層[Form]（糖電解質[Form]）成分（容量[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>ＩＩ層[Form]（[ActIngreName][Form]）成分（容量[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として）（[Number][Unit]）[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]注[Number]）[ElectIon]として[Number][Unit]注[Number]）含有（[Number][Unit]）<<BR>>混合後糖量<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName]濃度[Number][Unit]<<BR>>混合後電解質量<BR>[Number][Unit]中[Fomula]＋★[Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit][Fomula]－[Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit]Ｚｎ[Number][Unit]★：添加物に由来するものを含む<<BR>>混合後[ActIngreName]量<BR>[Number][Unit]中総[ActIngreName]量[Number][Unit][ActIngreName]量[Number][Unit][ActIngreName]／[ActIngreName][Number][ActIngreName]含有率[Number][Unit]<<BR>>混合後[Number][Unit]中<BR>総カロリー量[Number][Unit]非蛋白カロリー量[Number][Unit]非蛋白カロリー／[Unit][Number],84,12,2,2,Cluster  2
本剤はＩ層（糖電解質）とＩＩ層（[ActIngreName]）が隔壁で仕切られた[CaseName]で構成される二室タイプの[Form]製品である<<BR>>Ｉ層（糖電解質）成分（容量[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>ＩＩ層（[ActIngreName]）成分（容量[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]濃度[Number][Unit]<<BR>>混合後糖量（容量[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName]濃度[Number][Unit]<<BR>>混合後電解質量（容量[Number][Unit]中）<BR>[Fomula]＋★[Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit][Fomula][Number][Unit][ElectIon][Number][Unit][ElectIon]★★[Number][Unit][ElectIon][Number][Unit][ElectIon][Number][Unit]Ｚｎ[Number][Unit]★：安定剤の[Fomula]＋を含む★★：[ActIngreName]由来の[ElectIon]を含む<<BR>>混合後[ActIngreName]量（容量[Number][Unit]中）<BR>[ActIngreName]合計[Number][Unit][ActIngreName]濃度[Number][Unit]総[ActIngreName]量[Number][Unit]総[ActIngreName]濃度[Number][Unit][ActIngreName]／[ActIngreName][Number]<<BR>>混合後（容量[Number][Unit]中）<BR>非蛋白カロリー量[Number][Unit]総カロリー量[Number][Unit]非蛋白カロリー／[Unit][Number][ActIngreName]量[Number][Unit],84,12,3,2,Cluster  2
本品は[ActIngreName][ActIngreName]及び[ActIngreName]を有効成分とする[DrugParts][ActIngreName]及び[ActIngreName]を有効成分とする[DrugParts]からなり用時混合して使用する<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>[DrugParts]＜有効成分＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）（[ActIngreName]として）[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜成分分量（[Unit]）＞[Number][Unit]<BR>[ActIngreName]（[Fomula]）[Number][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number][ActIngreName]（[Fomula]）[Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][Fomula]－[Number][ActIngreName][Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][Fomula]－[Number][ActIngreName][Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][Fomula]－[Number][ActIngreName][Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][Fomula]－[Number][ActIngreName][Number]<<BR>>混合後＜電解質濃度（ｍ／[Unit]）＞[Number][Unit]<BR>[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][Fomula]－[Number][ActIngreName][Number],84,12,36,2,Cluster  2
熱量<BR>[Number][Unit][Number][Unit],24,3,1,2,Cluster  2
組成性状<BR>本剤は[ActIngreName]（[Fomula]）[Number][Unit]を含む,89,2,1,2,Cluster  2
調製前の成分分量<BR>本剤は使用前に隔壁を開通し[DrugParts]と[DrugParts]を混合して使用する[Form]製品である調製前の成分分量及び調製後の電解質糖濃度は下記のとおりである<<BR>>[DrugParts]成分[DrugParts]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>[DrugParts]成分[DrugParts]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>調製後の電解質糖濃度（理論値）<BR>電解質濃度（ｍ／[Unit]）[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][ElectIon][Number][Fomula][Number][ElectIon][Number][Number][ElectIon][Number][ActIngreName]（ｍｇ／ｄＬ）[Fomula][Number][Number]添加物（[ActIngreName]）として[ActIngreName]の[ElectIon][Number][Unit]を含む,84,12,2,2,Cluster  2
調製前の成分分量<BR>本剤は使用時に[DrugParts]に[DrugParts]を添加し混合して使用する調製前の成分分量及び調製後の電解質濃度は各々下記のとおりである<<BR>>[DrugParts]成分（[Number][Unit]（[Number][Unit]）中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>[DrugParts]成分（[Number][Unit]（[Number][Unit]）中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>調製後の電解質濃度<BR>電解質濃度（ｍ／[Unit]）（理論値）[Fomula]＋[Number][ElectIon][Number][ElectIon][Number][ElectIon][Number][Fomula][Number][ElectIon][Number]（[ActIngreName]として[ActIngreName]の[ElectIon][Number][Unit]を含む（[DrugParts]中の[ActIngreName][Number][Unit][Number][Unit]））[ElectIon][Number][ActIngreName]（ｍｇ／ｄＬ）[Fomula][Number],84,12,2,2,Cluster  2
＜成分分量＞<BR>成分化学式分量（ｇ／[Unit]）[ActIngreName]（[Fomula]）ｎｘＨ[Number]Ｏ[Number][ActIngreName][Fomula][Number][ActIngreName][Fomula][Number][ActIngreName][ActIngreName][Number]Ｈ[Number]Ｏ[Number][ActIngreName][Fomula][Number]<<BR>>＜電解質濃度＞<BR>電解質化学式濃度（ｍ／[Unit]）[ActIngreName][Fomula]＋[Number][ActIngreName][ActIngreName][ElectIon][Number][ActIngreName][Fomula]－[Number][ActIngreName]Ｃ[Number]Ｈ[Number]Ｏ[Number]－[Number],64,7,4,2,Cluster  2
＜成分分量＞（[Unit]）<BR>[ActIngreName]（[Fomula]）：[Number]（[Number][Unit][Number][Unit]）<<BR>>＜電解質濃度＞（ｍ／[Unit]）<BR>[Fomula]＋：[Number][Fomula]：[Number],64,7,1,2,Cluster  2
[ActIngreName]の[Form]である定量するとき[ActIngreName]（[Fomula]）[Number][Unit]以上を含む,14,21,1,7,Cluster  7
[ActIngreName]オリゼーより産生する消化酵素（[ActIngreName]）であり本品[Number][Unit]中にでんぷん糖化力[Number][Unit]を含む,47,17,1,7,Cluster  7
[BrandName][Number][Unit]中に[ActIngreName][Number][Unit]を含有する<<BR>>本品は[ActIngreName]（[Fomula]：[Number]）[Number][Unit]及び[ActIngreName]（[Fomula]：[Number]）[Number][Unit]を含む,85,18,1,7,Cluster  7
[BrandName]（[Fomula]）[Number][Unit]を含む,43,20,1,7,Cluster  7
[BrandName]（[Fomula]）[Number][Unit]以上を含む,43,20,2,7,Cluster  7
[BrandName]（[Fomula]：[Number]）[Number][Unit]以上を含む,43,20,1,7,Cluster  7
[Number][Unit]中[ActIngreName][Number][Unit]含有本品は定量する時[ActIngreName]（[Fomula]）[Number][Unit]含有,85,18,1,7,Cluster  7
[Number]．組成<BR>本品は[ActIngreName]の[Form]である,99,13,1,7,Cluster  7
[Number]．組成<BR>本品は[ActIngreName]（[ActIngreName]）の原薬である,99,13,1,7,Cluster  7
[Number]．組成<BR>本品は[BrandName]の原薬である,99,13,3,7,Cluster  7
[Number]．組成<BR>本品は[Number][Unit]で[ActIngreName]（[Fomula]）[Number][Unit]を含む,39,15,1,7,Cluster  7
成分含量<BR>本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]適量含有する,47,17,1,7,Cluster  7
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]<<BR>><BR>本品は[Number][Unit]の噴射で[ActIngreName][Number][Unit]が噴霧される[Number][Unit][Number][Unit]で約[Number][Unit]できる,47,17,2,7,Cluster  7
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]<<BR>>本品は[Number][Unit]の噴射で[ActIngreName][Number][Unit]が噴霧される[Number][Unit]（[Number][Unit]）の噴霧回数：[Number][Unit],47,17,4,7,Cluster  7
本剤[Number][Unit]中に[BrandName][Number][Unit]を含む本剤はブドウＶｉｔｉｓｖｉｎｉｆｅｒａＬｉｎｎｅ’（Ｖｉｔａｃｅａｅ）又はその他の品変種の果実を発酵して得た[Form]である本剤は[ActIngreName][Number][Unit]以上[Number][Unit]未満（比重による）含む本剤は酸化防止剤としてピロ亜[ActIngreName]を含む本剤は[ActIngreName][Taste]料及び[ActIngreName]着色料を含まない,74,16,1,7,Cluster  7
本剤は[BrandName]である<<BR>>乾燥したものは定量するとき[BrandName]（[Fomula]）[Number][Unit]以上を含む,31,22,1,7,Cluster  7
本剤は[BrandName]（[Fomula]）[Number][Unit]を含む,43,20,1,7,Cluster  7
本剤は[Number][Unit]で[BrandName]（[Fomula]）[Number][Unit]を含む（比重による）,43,20,1,7,Cluster  7
本剤は塩基性硝酸[ActIngreName]で乾燥したものを定量するとき[ActIngreName]（[Fomula]）[Number][Unit]を含む,31,22,1,7,Cluster  7
本剤は定量するとき[ActIngreName]（[Fomula]）[Number][Unit]以上を含む,31,22,1,7,Cluster  7
本剤は強熱したものを定量するとき[ActIngreName]（[Fomula]）[Number][Unit]以上を含む,31,22,1,7,Cluster  7
本剤は次没食子酸と[ActIngreName]との比が[Number]：[Number]からなるものでその乾燥したものを定量するとき[ActIngreName]（[Fomula]）[Number][Unit]を含む,31,22,1,7,Cluster  7
本剤を乾燥したものは[ActIngreName]（[Fomula]）[Number][Unit]以上を含む,31,22,4,7,Cluster  7
本剤を乾燥したものは[ActIngreName]［[ActIngreName]（[Fomula]）］[Number][Unit]以上を含む,31,22,1,7,Cluster  7
本剤を乾燥したものは定量するとき[ActIngreName]（[Fomula]）[Number][Unit]以上を含む,31,22,5,7,Cluster  7
本剤を乾燥したものは定量するとき[ActIngreName]（[Fomula]）を[Number][Unit]及び[ActIngreName]（[Fomula]）を[Number][Unit]を含む,31,22,1,7,Cluster  7
本品[Number][Unit]中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],47,17,1,7,Cluster  7
本品[Number][Unit]中<BR>[ActIngreName][Number][Unit]含有,47,17,1,7,Cluster  7
本品[Number][Unit]中[ActIngreName][Number][Unit],47,17,7,7,Cluster  7
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit],47,17,1,7,Cluster  7
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName],47,17,1,7,Cluster  7
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],47,17,2,7,Cluster  7
